nameAndSurname,games,points,rebounds,assists,fieldGoalPercentage,threeFieldGoal,freeThrowPercentage,effectiveFieldGoal,playerEfficiency,winShares
Dick Farley,211,6.5,2.5,1.8,38.4,,70.0,,12.1,8.2
Kenneth Faried,478,11.4,8.1,1.0,54.6,22.2,65.4,54.8,19.7,38.8
Desmon Farmer,11,2.4,0.6,1.0,31.0,25.0,100.0,39.7,6.0,0.0
Jordan Farmar,504,7.7,1.9,2.9,42.3,37.4,73.9,50.7,13.3,13.9
Jim Farmer,136,5.3,1.4,0.8,42.8,28.2,73.0,44.5,10.9,0.7
Mike Farmer,423,6.7,4.6,1.3,39.3,,81.4,,9.9,6.3
Tony Farmer,101,5.3,3.2,0.8,39.5,18.9,77.0,40.8,15.5,3.2
Bob Faught,51,6.7,-,0.6,29.5,,57.5,,-,1.7
Vítor Luiz Faverani,37,4.4,3.5,0.4,43.5,30.0,64.9,47.6,11.0,0.3
Derrick Favors,790,10.6,7.1,1.1,53.4,19.8,66.3,53.7,18.8,60.2
Dave Fedor,7,0.9,0.9,0.1,30.0,,0.0,,2.2,-0.1
Nick Fazekas,26,4.1,3.4,0.4,56.1,0.0,68.2,56.1,19.6,0.8
Bob Feerick,221,13.3,-,2.0,36.2,,80.5,,-,41.7
Butch Feher,48,5.2,1.5,0.8,53.1,,76.8,,15.9,1.5
Jamie Feick,201,4.5,7.1,0.7,42.4,40.0,62.9,43.2,12.4,8.2
Jarrett Jack,867,10.8,2.9,4.6,44.0,34.3,85.5,48.0,14.1,36.8
Aaron Jackson,1,8.0,3.0,1.0,33.3,25.0,50.0,38.9,2.4,0.0
Al Jackson,2,0.0,0.0,0.5,0.0,,-,,-9.2,-0.1
Bobby Jackson,755,9.7,3.1,2.6,41.7,35.4,79.3,47.0,15.2,31.4
Cedric Jackson,12,1.7,0.7,1.2,30.0,16.7,58.3,32.5,5.5,-0.2
Darnell Jackson,138,2.2,1.5,0.2,44.9,23.5,64.4,45.6,8.7,1.3
Demetrius Jackson,26,1.8,0.7,0.7,48.6,28.6,66.7,54.1,13.0,0.2
Frank Jackson,213,8.5,1.8,1.0,42.2,33.3,78.6,50.2,10.4,2.5
Greg Jackson,49,3.7,1.4,2.0,41.5,,58.1,,7.6,-0.1
Isaiah Jackson,36,8.3,4.1,0.3,56.3,31.3,68.2,57.5,20.5,1.4
Jaren Jackson Jr.,204,15.8,5.1,1.2,45.3,35.1,79.1,52.1,16.7,12.8
Jaren Jackson,431,5.5,1.8,1.2,39.1,35.3,76.4,46.9,10.1,11.5
Jim Jackson,885,14.3,4.7,3.2,42.8,36.5,82.5,46.7,13.5,35.8
Jermaine Jackson,135,1.9,1.1,1.4,40.1,15.8,71.1,40.8,8.8,1.0
Josh Jackson,291,11.3,4.0,1.8,41.6,29.2,68.0,46.1,11.4,-1.7
Luke Jackson,522,9.9,8.8,1.6,41.5,,72.2,,12.7,22.3
Justin Jackson,255,6.5,2.5,1.1,42.6,32.1,79.9,50.4,10.1,5.3
Luke Jackson,73,3.5,1.2,0.8,35.7,36.0,73.2,42.6,9.3,0.2
Fred LaCour,144,6.5,3.3,1.9,42.1,,77.4,,11.9,3.4
Sheldon Mac,30,3.0,1.1,0.5,40.0,23.3,85.2,44.7,10.1,0.5
Hamady N'Diaye,33,0.6,0.8,0.1,46.7,-,46.2,46.7,3.9,0.0
Charles O'Bannon,48,2.5,1.4,0.6,40.0,0.0,87.0,40.0,11.7,0.6
Joe Pace,79,3.2,2.1,0.3,46.7,,59.8,,14.3,1.1
Tim Quarterman,19,1.8,0.9,0.6,43.8,33.3,40.0,51.6,9.2,-0.1
Zhou Qi,19,1.3,1.2,0.1,21.2,10.5,66.7,24.2,2.5,-0.2
Neemias Queta,14,3.2,2.2,0.4,44.7,-,64.7,44.7,12.7,0.1
Trevelin Queen,10,4.3,1.6,0.4,45.5,37.5,100.0,59.1,18.2,0.1
Bob Quick,142,6.0,2.8,0.7,45.4,-,74.6,45.4,13.4,4.3
Immanuel Quickley,142,11.4,2.7,2.8,39.3,36.5,88.5,49.1,15.1,7.5
Chris Quinn,241,4.5,1.1,1.9,39.9,37.7,80.9,48.3,12.2,5.3
Brian Quinnett,138,3.4,1.6,0.6,41.4,32.6,67.7,44.3,8.4,0.9
Ivan Rabb,85,5.7,4.3,1.0,55.5,20.0,74.3,55.9,16.3,3.2
Bruce Hale,142,9.1,1.9,3.0,33.3,,76.3,,-,9.2
Hal Hale,72,5.0,2.9,2.0,32.6,31.3,67.4,36.9,5.6,1.0
Ollie Darden,223,9.2,6.2,1.0,43.5,18.2,69.5,43.6,13.4,7.7
George Kaftan,212,7.5,3.1,1.9,37.0,,65.0,,13.8,8.9
Whitey Kachan,52,2.2,-,0.7,26.8,,64.3,,-,0.7
Georgios Kalaitzakis,13,6.6,1.6,0.9,46.3,38.5,46.7,53.7,8.6,-0.1
Ed Kalafat,209,7.1,5.7,1.5,34.5,,68.8,,11.6,5.3
Chris Kaman,735,11.2,7.6,1.3,48.9,4.2,74.3,48.9,14.9,24.6
Frank Kaminsky,377,9.4,4.1,1.6,42.9,34.8,74.3,49.9,14.1,15.2
Ralph Kaplowitz,105,5.6,-,0.5,26.3,,74.9,,-,5.2
Jason Kapono,509,6.7,1.7,0.8,44.2,43.4,83.5,51.7,10.5,10.3
Tony Kappen,59,6.5,-,0.5,23.8,,79.5,,-,0.7
Sergey Karasev,95,3.0,1.5,0.9,39.5,28.2,84.2,45.9,8.7,0.8
Coby Karl,24,2.4,1.3,1.0,34.5,25.0,75.0,39.7,9.2,0.0
George Karl,264,6.5,1.4,3.0,46.5,22.2,78.0,46.9,13.2,7.7
Mario Kasun,73,2.7,2.6,0.2,46.7,0.0,63.6,46.7,10.8,0.8
Ed Kasid,8,1.5,-,0.8,28.6,,0.0,,-,0.0
Leo Katkaveck,107,4.3,-,1.3,31.7,,68.5,,-,1.9
Bob Kauffman,525,11.5,7.0,2.7,47.7,,74.9,,16.8,31.5
Sasha Kaun,25,0.9,1.0,0.1,52.9,-,45.5,52.9,12.5,0.2
Wilbert Kautz,50,5.1,-,0.7,25.5,,53.4,,-,0.8
Clarence Kea,51,3.9,2.5,0.4,48.5,0.0,69.2,48.5,13.8,1.0
Bobby Edmonds,75,7.7,5.0,0.4,43.4,16.7,65.1,43.5,12.1,2.5
Bob Gantt,23,3.1,-,0.2,32.6,,46.4,,-,1.3
Kevin Gamble,649,9.5,2.2,2.0,50.2,36.0,81.0,52.4,14.2,33.3
Ron Feiereisel,10,3.0,0.6,0.6,28.6,,87.5,,12.2,0.0
Arvydas Sabonis,470,12.0,7.3,2.1,50.0,32.8,78.6,51.7,21.2,47.3
Marc Jackson,387,8.4,4.3,0.8,44.6,22.6,81.4,44.7,14.1,13.0
Raef LaFrentz,563,10.1,6.1,1.1,46.6,36.3,71.1,51.6,16.1,39.4
Tom LaGarde,312,7.6,5.1,1.5,46.2,0.0,64.0,46.2,11.5,6.5
Rusty LaRue,98,5.0,1.3,1.6,37.6,31.8,84.1,43.1,8.9,0.5
Rudy LaRusso,736,15.6,9.4,2.1,43.1,,76.7,,15.5,61.4
Zach LaVine,478,19.8,3.9,3.9,46.1,38.6,83.0,53.1,17.1,23.7
Skal Labissière,148,7.2,4.5,1.0,49.2,35.3,74.8,50.9,15.0,4.4
Reggie Lacefield,8,3.0,1.4,0.0,50.0,0.0,50.0,50.0,12.8,0.1
Edgar Lacey,46,5.1,3.9,0.7,44.7,0.0,56.7,44.7,10.5,0.5
Sam Lacey,1002,10.3,9.7,3.7,44.1,18.8,73.8,44.1,14.2,50.9
Bob Lackey,71,5.8,2.3,1.9,43.1,40.0,59.3,43.4,7.3,-0.1
Wendell Ladner,300,11.6,8.3,2.1,38.6,25.2,71.2,40.0,12.5,3.6
Christian Laettner,868,12.8,6.7,2.6,48.0,26.1,82.0,48.6,16.9,64.9
Oliver Lafayette,1,7.0,4.0,2.0,50.0,50.0,-,58.3,12.8,0.0
Bill Laimbeer,1068,12.9,9.7,2.0,49.8,32.6,83.7,50.7,16.1,105.6
Pete Lalich,1,0.0,-,0.0,0.0,,-,,-,0.0
Bo Lamar,273,16.4,2.7,3.9,41.1,26.7,76.8,42.4,14.6,5.4
Anthony Lamb,26,5.1,2.7,1.0,38.3,31.5,85.7,47.9,8.5,0.2
Doron Lamb,100,3.5,1.0,0.8,38.1,39.4,70.0,45.8,6.3,0.1
Todd MacCulloch,223,6.1,4.0,0.5,54.1,-,64.2,54.1,16.9,11.9
Jeremy Lamb,573,10.1,3.6,1.6,43.9,34.2,85.7,50.1,15.6,26.8
Ronnie MacGilvray,6,1.3,1.5,1.8,16.7,,57.1,,8.1,-0.1
Don MacLean,319,10.9,3.8,1.3,45.5,28.4,76.5,46.5,15.1,9.4
Mike Macaluso,30,1.6,0.8,0.1,43.2,,58.8,,10.2,0.0
Ed Macauley,641,17.5,7.5,3.2,43.6,,76.1,,20.5,100.4
Scott Machado,10,1.8,0.1,0.9,58.3,50.0,100.0,62.5,13.7,0.0
Arvydas Macijauskas,19,2.3,0.5,0.3,34.1,25.0,86.7,37.8,8.3,0.0
Ollie Mack,128,7.2,2.5,1.8,45.8,0.0,67.4,45.8,12.0,2.5
Sam Mack,259,7.8,2.1,1.3,40.0,37.4,83.1,49.3,12.2,7.4
Malcolm Mackey,22,1.5,1.1,0.0,37.8,0.0,50.0,37.8,12.6,0.1
Rudy Macklin,160,6.4,2.9,0.8,44.9,0.0,77.6,44.9,10.0,3.2
Shelvin Mack,456,6.6,2.0,3.1,42.3,33.0,73.1,47.8,12.3,10.3
Vernon Macklin,23,2.0,1.5,0.2,54.3,-,57.1,54.3,18.2,0.5
Johnny Macknowski,117,7.0,1.9,1.1,31.7,,72.7,,-,2.7
Daryl Macon,12,2.7,1.0,0.7,36.7,46.2,57.1,46.7,4.3,-0.1
Mark Macon,251,6.7,1.9,1.7,38.4,27.0,73.5,39.4,8.9,0.1
J.P. Macura,3,2.0,1.0,0.7,33.3,0.0,-,33.3,5.4,0.0
Jack Maddox,1,0.0,-,1.0,-,,-,,-,0.0
Mamadou N'Diaye,69,3.8,3.3,0.1,42.7,0.0,73.6,42.7,13.3,1.8
Makhtar N'Diaye,4,1.3,1.3,0.3,25.0,-,75.0,25.0,3.9,0.0
Kyle Macy,551,9.5,2.2,4.0,50.1,33.7,87.3,52.3,14.0,36.0
Boniface N'Dong,23,2.2,1.6,0.3,41.5,0.0,66.7,41.5,11.0,0.2
Bob Naber,4,0.3,1.3,0.3,0.0,,50.0,,-10.4,-0.1
Boris Nachamkin,6,3.3,3.2,0.5,30.0,,61.5,,12.5,0.0
Boštjan Nachbar,317,7.1,2.6,0.9,40.6,37.5,78.4,49.4,11.5,8.7
Abdel Nader,202,4.6,1.9,0.5,42.8,35.7,71.8,50.8,9.3,2.8
Jerry Nagel,14,0.9,-,1.3,21.4,,25.0,,-,-0.1
Fritz Nagy,50,5.1,-,1.4,34.7,,67.0,,-,2.1
Lee Nailon,306,8.6,3.1,1.0,47.4,11.1,78.6,47.4,14.0,8.0
Eduardo Nájera,619,4.9,3.7,0.8,48.1,31.1,67.1,50.3,12.0,24.7
Larry Nance,920,17.1,8.0,2.6,54.6,14.5,75.5,54.6,19.9,109.6
Larry Nance Jr.,396,8.1,6.5,1.9,52.9,33.3,68.9,56.2,16.4,24.4
Ed O'Bannon,128,5.0,2.5,0.8,36.7,22.2,75.5,38.7,9.1,1.1
Shabazz Napier,345,7.1,1.9,2.5,39.7,34.5,81.5,48.2,12.9,8.1
John O'Boyle,5,4.2,2.0,1.0,30.8,,71.4,,3.4,0.0
Bob O'Brien,46,1.8,-,0.2,20.6,,46.6,,-,-0.1
J.J. O'Brien,2,0.0,0.5,0.0,0.0,-,-,0.0,1.3,0.0
Jim O'Brien,58,4.6,2.4,1.5,42.9,20.0,74.7,44.2,14.6,0.4
Zaza Pachulia,1098,6.8,5.8,1.3,46.9,0.0,75.1,46.9,14.6,52.7
Wayne Pack,21,2.9,1.0,0.6,38.3,29.4,83.3,42.5,7.3,0.1
Robert Pack,552,8.9,2.0,4.6,42.5,29.2,78.7,43.9,15.0,14.4
Luther Rackley,278,6.3,4.6,0.6,46.1,0.0,63.1,46.1,12.6,6.0
Gerald Paddio,129,5.5,1.4,1.0,42.1,24.2,74.6,42.6,10.6,0.1
Howie Rader,13,1.3,-,1.1,15.6,,30.0,,-,-0.6
Mark Radford,97,3.6,0.8,1.7,50.7,28.6,45.8,51.8,11.3,0.4
Wayne Radford,52,3.9,1.3,1.1,47.4,,80.0,,9.7,0.7
Dino Radja,224,16.7,8.4,1.6,49.7,0.0,73.5,49.7,17.4,14.3
Vladimir Radmanović,737,8.0,3.8,1.4,41.5,37.8,75.8,50.9,12.7,26.5
Aleksandar Radojević,15,1.7,2.4,0.5,30.8,-,62.5,30.8,-0.9,-0.4
Frank Radovich,37,2.4,1.4,0.1,39.8,,50.0,,9.9,0.0
Moe Radovich,4,3.5,0.3,2.0,38.5,,100.0,,20.0,0.1
Miroslav Raduljica,53,3.6,2.1,0.4,53.0,-,82.5,53.0,14.7,1.1
Ray Radziszewski,1,0.0,2.0,1.0,0.0,,-,,-8.9,-0.1
Domantas Sabonis,415,14.4,9.2,3.6,53.4,31.9,72.8,55.4,18.7,34.6
Robert Sacre,189,4.2,3.1,0.7,43.6,0.0,67.1,43.6,10.8,2.4
Ed Sadowski,229,15.6,-,1.8,35.4,,69.7,,-,36.2
Kenny Sailors,276,12.6,2.0,2.8,32.9,,71.2,,-,17.1
John Salley,748,7.0,4.5,1.2,50.6,21.4,71.4,50.6,12.8,41.5
John Salmons,895,9.3,2.9,2.4,43.1,36.6,79.9,48.3,12.1,33.9
Al Salvadori,17,3.2,2.7,0.2,36.2,100.0,68.8,37.1,6.0,-0.1
Kevin Salvadori,39,1.1,1.2,0.3,28.3,-,66.7,28.3,6.1,-0.2
Soumaila Samake,47,1.4,1.6,0.1,38.9,-,46.2,38.9,10.0,0.3
Luka Šamanić,36,3.8,2.2,0.6,43.0,29.4,57.6,49.2,9.6,0.1
Cheikh Samb,22,1.0,1.4,0.0,25.0,0.0,44.4,25.0,7.1,-0.1
Edwin Ubiles,4,3.5,2.5,0.3,27.8,20.0,100.0,30.6,7.3,0.0
Žan Tabak,247,5.0,3.6,0.7,50.6,0.0,52.5,50.6,11.3,2.4
Ekpe Udoh,384,3.5,2.9,0.7,45.3,0.0,71.8,45.3,12.0,10.4
Ime Udoka,316,5.2,2.9,1.0,41.7,35.6,70.5,49.2,10.8,8.8
Beno Udrih,831,8.4,2.1,3.4,46.3,34.9,83.3,50.2,14.0,31.4
Roko Ukić,85,4.0,0.9,1.9,38.7,18.9,74.6,40.7,10.0,-0.2
Stephen Vacendak,83,9.9,2.9,2.3,39.0,20.0,75.4,39.1,11.4,1.8
Paul Napolitano,1,0.0,-,0.0,-,,-,,-,0.0
Bob Nash,236,4.7,2.3,0.7,42.9,0.0,72.9,42.9,11.1,2.4
Cotton Nash,84,5.6,3.3,0.8,34.0,0.0,76.6,34.0,12.7,0.9
Steve Nash,1217,14.3,3.0,8.5,49.0,42.8,90.4,55.6,20.0,129.7
Swen Nater,722,12.4,11.6,1.7,53.5,10.0,74.8,53.5,17.6,58.5
Jimmy O'Brien,303,5.9,2.0,4.1,40.2,17.6,83.0,40.7,9.9,4.0
Ralph O'Brien,119,7.1,1.6,1.5,36.0,,83.0,,12.5,3.1
Johnny O'Bryant,147,3.5,2.4,0.5,40.2,36.0,66.3,41.9,8.0,0.2
Patrick O'Bryant,90,2.1,1.4,0.3,49.4,0.0,58.3,49.4,11.0,0.5
Dermie O'Connell,82,5.8,-,1.9,26.8,,53.1,,-,-3.1
Andy O'Donnell,25,3.6,-,0.7,35.2,,77.8,,-,0.3
Buddy O'Grady,146,3.7,-,0.7,26.5,,69.1,,-,1.6
Fran O'Hanlon,14,1.6,0.3,0.9,36.4,0.0,66.7,36.4,-5.2,0.0
Dick O'Keefe,172,5.2,2.2,0.9,27.2,,64.0,,-,1.7
Tommy O'Keefe,6,3.8,1.2,1.7,35.7,,75.0,,-,0.1
Mike O'Koren,407,8.2,3.4,2.1,49.0,27.1,65.1,49.5,12.1,14.6
Grady O'Malley,24,2.1,1.1,0.4,35.0,,42.1,,8.6,-0.3
Jermaine O'Neal,1011,13.2,7.2,1.4,46.7,14.7,71.5,46.7,17.9,66.0
Shaquille O'Neal,1207,23.7,10.9,2.5,58.2,4.5,52.7,58.2,26.4,181.7
Scott Padgett,448,4.2,2.7,0.7,41.0,37.3,73.6,48.2,12.9,13.2
